Country_Region,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,People_partially_vaccinated,People_fully_vaccinated
Afghanistan,178850,7683,0.0045943391217211135,4.295778585406765,5253929,4603187
Albania,275002,3496,0.09555980262700674,1.271263481720133,1288846,1226046
Antarctica,265776,6875,NaN,2.5867647944133405,7461932,6110712
Algeria,41349,153,0.0009429422237459665,0.3700210404121019,57850,53406
Andorra,99287,1900,1.2850190901443086,1.9136442837430883,11799837,6127137
Angola,11,0,3.346896581017352e-7,0.0,63918,61687
Antigua and Barbuda,7604,136,0.07764888489502492,1.7885323513940032,41010277,37187780
Argentina,9072230,128542,0.20073180731022724,1.416873249465677,1128072,980101
Armenia,422858,8622,0.14270152137833192,2.0389823534141485,22271421,21502153
Austria,5889356,7187,0.653907887724285,819.445665785446,6820620,6603712
Azerbaijan,4129158,18117,0.40724792697630724,0.4387577322059364,5337603,4838456
Bahamas,792496,9707,2.0152575474001138,1.2248642264440452,166236,157550
Bahrain,33527,789,0.019703417347258407,2.3533271691472546,1233991,1218140
Bangladesh,567988,1475,0.0034488440581503664,0.259688584970105,161673,151844
Barbados,1952644,29127,6.7948540388556955,1.4916697564942714,5947876,5501250
Belarus,69345,390,0.0073386225317141835,0.5624053644819381,9236208,9137575
Belgium,979346,6940,0.08521505196238184,0.7086361714858691,236883,210618
Belize,4056448,31439,10.201795176814102,129.02598683164223,3065188,2520562
Benin,57491,676,0.00474223055665675,1.1758362178427928,691290,662656
Bhutan,26952,163,0.03492947232546928,0.6047788661323835,7106071,5834249
Bolivia,58876,20,0.005043763705204536,0.03396969902846661,943394,846080
Bosnia and Herzegovina,904758,21910,0.27577233096044734,2.4216420302445516,1454775,1292541
Botswana,377043,15764,0.16033296125019933,4.180955487835605,182455170,163481925
Brazil,305984,2688,0.0014395222561048803,0.8784773060029283,2084765,2054944
Brunei,30418920,663464,69.53166180171573,45.84863685143429,2158705,1243268
Bulgaria,1155975,36901,0.1663645607038697,3.1921970630852745,11083,10522
Burkina Faso,20865,383,0.0009981688039550542,1.8356098729930506,14892264,14151943
Burma,39794,38,0.0007313756784302473,0.09549178268080614,1544220,1201735
Burundi,136240,3056,0.011457615778139384,2.243100411039342,33716371,31294309
Cabo Verde,119780,1927,0.21543630438067007,1.6087827684087495,923553,897945
Cambodia,3750025,39189,0.22429759582692022,95.69075505881753,2159731,2038603
Cameroon,14649,113,0.0005518373785083808,0.7713837121987849,17910218,17450956
Central African Republic,7411,193,0.0015344435049000323,2.6042369450816354,1282120000,1246769000
Chad,3553956,57495,0.21636347907284484,61.81330550482651,42103607,35416098
Chile,2125741,14210,0.11120097086195281,149.59472202674172,341102,301218
Colombia,6092167,139789,0.11972920009801331,43.58116160785183,4401102,4084348
Congo (Brazzaville),8105,160,0.0014688047970204195,1.974090067859346,7927713,5394807
Congo (Kinshasa),852074,8405,0.009513852641256048,0.9864166727303028,2312814,2241286
Comoros,81920,799,0.09420477348650809,0.975341796875,10652739,9941380
Costa Rica,1120766,15817,0.22001195890001676,1.4112669370769635,687926,645292
Cote d'Ivoire,1102559,8525,0.04179799475136263,0.7732012527220765,4837770,4799070
Croatia,470481,1011,0.11460421097964858,0.21488646725372545,154093,114051
Cuba,3161410,6184,0.27911337331467756,511.22412677878395,32569,30142
Cyprus,15611,189,0.012929852794648825,1.2106847735571071,7204881,5957719
Czechia,12033,63,0.0011236362149081957,0.5235602094240838,15086932,13859195
Denmark,579248,4376,0.09923365825437584,0.7554622545092948,45884414,33441703
Djibouti,869124,35588,0.8796783812178518,4.094697649587401,4595639,4298297
Dominica,515645,24613,7.162631440041117,4.7732451589756515,264393,212359
Dominican Republic,162089,4128,0.014941964825647424,2.546749008260894,860385,844595
Ecuador,15907,183,0.0009016009694463432,1.1504369145659143,387509,318360
Egypt,9734,103,0.00009511952691022196,1.0581467022806657,24769870,21290883
El Salvador,571625,2537,0.08812939962853449,0.44382243603761207,685353,631326
Equatorial Guinea,70528,1397,0.05026996012074256,1.9807735934664248,4508830,4318014
